ROUND,GID,HOME,H SEED,H POINTS,AWAY,A SEED,A POINTS
1,1,Gonzaga,1,93,Georgia St.,16,72
1,2,Boise State,8,53,Memphis,9,64
1,3,Connecticut,5,63,New Mexico St.,12,70
1,4,Arkansas,4,75,Vermont,13,71
1,5,Alabama,6,64,Notre Dame,11,78
1,6,Texas Tech,3,97,Montana State,14,62
1,7,Michigan St.,7,74,Davidson,10,73
1,8,Duke,2,78,Cal. St. Fullerton,15,61
1,9,Baylor,1,85,Norfolk St.,16,49
1,10,N. Carolina,8,95,Marquette,9,63
1,11,St. Mary's (CA),5,82,Indiana,12,53
1,12,UCLA,4,57,Akron,13,53
1,13,Texas,6,81,Virginia Tech,11,73
1,14,Purdue,3,78,Yale,14,56
1,15,Murray St.,7,92,San Francisco,10,87
1,16,Kentucky,2,79,Saint Peter's,15,85
1,17,Arizona,1,87,Wright St.,16,70
1,18,Seton Hall,8,42,TCU,9,69
1,19,Houston,5,82,UAB,12,68
1,20,Illinois,4,54,Chattanooga,13,53
1,21,Colorado State,6,63,Michigan,11,75
1,22,Tennessee,3,88,Longwood,14,56
1,23,Ohio St.,7,54,Loyola-Chicago,10,41
1,24,Villanova,2,80,Delaware,15,60
1,25,Kansas,1,83,Tex. Southern,16,56
1,26,San Diego St.,8,69,Creighton,9,72
1,27,Iowa,5,63,Richmond,12,67
1,28,Providence,4,66,S. Dakota St.,13,57
1,29,LSU,6,54,Iowa St.,11,59
1,30,Wisconsin,3,67,Colgate,14,60
1,31,USC,7,66,Miami (FL),10,68
1,32,Auburn,2,80,Jacksonville State,15,61
2,1,Gonzaga,1,82,Memphis,9,78
2,2,New Mexico St.,12,48,Arkansas,4,53
2,3,Notre Dame,11,53,Texas Tech,3,59
2,4,Michigan St.,7,76,Duke,2,85
2,5,Baylor,1,86,N. Carolina,8,93
2,6,St. Mary's (CA),5,56,UCLA,4,72
2,7,Texas,6,71,Purdue,3,81
2,8,Murray St.,7,60,Saint Peter's,15,70
2,9,Arizona,1,85,TCU,9,80
2,10,Houston,5,68,Illinois,4,53
2,11,Michigan,11,76,Tennessee,3,68
2,12,Ohio St.,7,61,Villanova,2,71
2,13,Kansas,1,79,Creighton,9,72
2,14,Richmond,12,51,Providence,4,79
2,15,Iowa St.,11,54,Wisconsin,3,49
2,16,Miami (FL),10,79,Auburn,2,61
3,1,Gonzaga,1,68,Arkansas,4,74
3,2,Texas Tech,3,73,Duke,2,78
3,3,N. Carolina,8,73,UCLA,4,66
3,4,Purdue,3,64,Saint Peter's,15,67
3,5,Arizona,1,60,Houston,5,72
3,6,Michigan,11,55,Villanova,2,63
3,7,Kansas,1,66,Providence,4,61
3,8,Iowa St.,11,56,Miami (FL),10,70
4,1,Arkansas,4,69,Duke,2,78
4,2,N. Carolina,8,69,Saint Peter's,15,49
4,3,Houston,5,44,Villanova,2,50
4,4,Kansas,1,76,Miami (FL),10,50
5,1,Duke,2,77,N. Carolina,8,81
5,2,Villanova,2,65,Kansas,1,81
6,1,N. Carolina,8,69,Kansas,1,72
