ROUND,GID,HOME,H SEED,H POINTS,AWAY,A SEED,A POINTS
1,1,Houston,1,78,SIU Edwardsville,16,40
1,2,Gonzaga,8,89,Georgia,9,68
1,3,Clemson,5,67,McNeese,12,69
1,4,Purdue,4,75,High Point,13,63
1,5,BYU,6,80,VCU,11,71
1,6,Wisconsin,3,85,Montana,14,66
1,7,Kansas,7,72,Arkansas,10,79
1,8,Tennessee,2,77,Wofford,15,62
1,9,Auburn,1,83,Alabama State,16,63
1,10,Louisville,8,75,Creighton,9,89
1,11,Michigan,5,68,UC San Diego,12,65
1,12,Texas A&M,4,80,Yale,13,71
1,13,Missouri,6,57,Drake,11,67
1,14,Texas Tech,3,82,UNC Wilmington,14,72
1,15,UCLA,7,72,Utah State,10,47
1,16,St. John's,2,83,Omaha,15,53
1,17,Duke,1,93,Mount St. Mary's,16,49
1,18,Mississippi State,8,72,Baylor,9,75
1,19,Memphis,5,70,Colorado State,12,78
1,20,Maryland,4,81,Grand Canyon,13,49
1,21,Ole Miss,6,71,North Carolina,11,64
1,22,Iowa State,3,82,Lipscomb,14,55
1,23,Saint Mary's,7,59,Vanderbilt,10,56
1,24,Alabama,2,90,Robert Morris,15,81
1,25,Florida,1,95,Norfolk State,16,69
1,26,UConn,8,67,Oklahoma,9,59
1,27,Illinois,6,86,Xavier,11,73
1,28,Kentucky,3,76,Troy,14,57
1,29,Marquette,7,66,New Mexico,10,75
1,30,Michigan State,2,87,Bryant,15,62
1,31,Oregon,5,81,Liberty,12,52
1,32,Arizona,4,93,Akron,13,65
2,1,Houston,1,81,Gonzaga,8,76
2,2,Purdue,4,76,McNeese,12,62
2,3,BYU,6,91,Wisconsin,3,89
2,4,Tennessee,2,67,UCLA,7,58
2,5,Auburn,1,82,Creighton,9,70
2,6,Texas A&M,4,79,Michigan,5,91
2,7,Texas Tech,3,77,Drake,11,64
2,8,St. John's,2,66,Arkansas,10,75
2,9,Duke,1,89,Baylor,9,66
2,10,Maryland,4,72,Colorado State,12,71
2,11,Ole Miss,6,91,Iowa State,3,78
2,12,Alabama,2,80,Saint Mary's,7,66
2,13,Florida,1,77,UConn,8,75
2,14,Arizona,4,87,Oregon,5,83
2,15,Kentucky,3,84,Illinois,6,75
2,16,Michigan State,2,71,New Mexico,10,63
3,1,Houston,1,62,Purdue,4,60
3,2,Tennessee,2,78,Kentucky,3,65
3,3,Auburn,1,78,Michigan,5,65
3,4,Michigan State,2,73,Ole Miss,6,70
3,5,Duke,1,100,Arizona,4,93
3,6,Alabama,2,113,BYU,6,88
3,7,Florida,1,87,Maryland,4,71
3,8,Texas Tech,3,85,Arkansas,10,83
4,1,Houston,1,69,Tennessee,2,50
4,2,Auburn,1,70,Michigan State,2,64
4,3,Duke,1,85,Alabama,2,65
4,4,Florida,1,84,Texas Tech,3,79
5,1,Houston,1,70,Duke,1,67
5,2,Florida,1,79,Auburn,1,73
6,1,Florida,1,65,Houston,1,63
