ROUND,GID,HOME,H SEED,H POINTS,AWAY,A SEED,A POINTS
1,1,Alabama,1,96,Texas A&M-CC,16,75
1,2,Maryland,8,67,West Virginia,9,65
1,3,San Diego State,5,63,Charleston,12,57
1,4,Virginia,4,67,Furman,13,68
1,5,Creighton,6,72,NC State,11,63
1,6,Baylor,3,74,UC Santa Barbara,14,56
1,7,Missouri,7,76,Utah State,10,65
1,8,Arizona,2,93,Princeton,15,59
1,9,Houston,1,63,Northern Kentucky,16,52
1,10,Auburn,9,83,Iowa,8,75
1,11,Miami (FL),5,63,Drake,12,56
1,12,Indiana,4,71,Kent State,13,60
1,13,Iowa State,6,59,Pitt,11,41
1,14,Xavier,3,72,Kennesaw State,14,67
1,15,Texas A&M,7,67,Penn State,10,76
1,16,Texas,2,81,Colgate,15,61
1,17,Kansas,1,96,Howard,16,68
1,18,Arkansas,8,73,Illinois,9,63
1,19,Saint Mary's,5,63,VCU,12,51
1,20,UConn,4,87,Iona,13,63
1,21,TCU,6,72,Arizona State,11,70
1,22,Gonzaga,3,82,Grand Canyon,14,70
1,23,Northwestern,7,75,Boise State,10,67
1,24,UCLA,2,86,UNC Asheville,15,53
1,25,Purdue,1,58,Fairleigh Dickinson,16,63
1,26,Memphis,8,65,Florida Atlantic,9,66
1,27,Duke,5,74,Oral Roberts,12,51
1,28,Tennessee,4,58,Louisiana,13,55
1,29,Kentucky,6,79,Providence,11,80
1,30,Kansas State,3,77,Montana State,14,65
1,31,Michigan State,7,72,USC,10,62
1,32,Marquette,2,78,Vermont,15,61
2,1,Alabama,1,73,Maryland,8,51
2,2,San Diego State,5,75,Furman,13,52
2,3,Creighton,6,85,Baylor,3,76
2,4,Missouri,7,63,Princeton,15,78
2,5,Houston,1,81,Auburn,9,64
2,6,Miami (FL),5,85,Indiana,4,69
2,7,Iowa State,6,75,Xavier,3,72
2,8,Penn State,10,66,Texas,2,71
2,9,Kansas,1,71,Arkansas,8,72
2,10,Saint Mary's,5,55,UConn,4,70
2,11,TCU,6,81,Gonzaga,3,84
2,12,Northwestern,7,63,UCLA,2,68
2,13,Fairleigh Dickinson,16,52,Florida Atlantic,9,78
2,14,Duke,5,52,Tennessee,4,65
2,15,Providence,11,75,Kansas State,3,77
2,16,Michigan State,7,69,Marquette,2,60
3,1,Alabama,1,64,San Diego State,5,71
3,2,Creighton,6,86,Princeton,15,75
3,3,Houston,1,75,Miami (FL),5,89
3,4,Iowa State,6,61,Texas,2,83
3,5,Arkansas,8,65,UConn,4,88
3,6,Gonzaga,3,68,UCLA,2,76
3,7,Florida Atlantic,9,62,Tennessee,4,55
3,8,Kansas State,3,98,Michigan State,7,93
4,1,San Diego State,5,57,Creighton,6,56
4,2,Miami (FL),5,59,Texas,2,85
4,3,UConn,4,82,UCLA,2,64
4,4,Florida Atlantic,9,79,Kansas State,3,76
5,1,San Diego State,5,72,Florida Atlantic,9,71
5,2,UConn,4,72,Miami (FL),5,59
6,1,San Diego State,5,59,UConn,4,76
