Rk,School,W,L,W-L%,W,L,W-L%,Own,Opp,SRS,SOS,Notes
1,Toledo,15,4,.789,21,9,.700,81.1,72.6,6.6,-1.9,Reg. Season Champion
2,Buffalo,12,5,.706,16,9,.640,81.4,72.9,6.5,-1.6,
3,Akron,12,6,.667,15,8,.652,78.2,72.2,1.9,-2.0,
3,Kent State,12,6,.667,15,8,.652,76.7,71.1,1.7,-1.9,
5,Ohio,9,5,.643,17,8,.680,79.2,72.6,5.5,-0.6,NCAA Tournament; Conf. Tournament Champion
6,Bowling Green,10,8,.556,14,12,.538,77.5,74.6,-0.2,-2.4,
7,Miami (OH),9,8,.529,12,11,.522,72.3,71.6,-2.7,-2.7,
8,Ball State,8,9,.471,10,13,.435,74.7,75.5,-2.0,-1.2,
9,Western Michigan,4,12,.250,5,16,.238,63.1,72.0,-11.5,-1.2,
10,Eastern Michigan,3,11,.214,6,12,.333,70.4,75.7,-14.2,-1.2,
11,Central Michigan,3,13,.188,7,16,.304,76.8,79.8,-12.3,-4.2,
12,Northern Illinois,2,12,.143,3,16,.158,62.3,77.4,-17.9,-2.8,
